id,user_id,screen_name,text,created_at,article_url,at_users,attitudes_count,comments_count,ip,location,reposts_count,retweet_id,source,topics,user_authentication
5099282952624656,7650571377,什么苏述uu,有八个瑞士卷该怎么给cp粉分：苏朱批分八个鸡芒批不许吃因为你爸你妈长得太丑了鸡猴批不许吃因为你爸你妈还在打back之战猪猴批不许吃因为拉花做瓜等着被雷劈吧猴苏批不许吃因为我爸不喜欢猴子滚褒批不许吃因为我妈不喜欢芒果好几批不许吃因为你爸你妈撞号了知己批不许吃因为我妈不喜欢超雄滚产批看着苏朱批吃。,2024-11-10 22:00,,,6,2,,,0,,铲棍妈的Android,,黄V
5099282373807178,7497843612,你需要的全部就是爱_,553【桂皮】八个瑞士卷怎么分,2024-11-10 21:58,,,284,10,意大利,,4,,iPhone 13,,普通用户
5096401992157307,3669202031,准备去快乐星球了,别再问你那河童老公瑞士卷怎么分了你都明晃晃拿着镜头拍他了还能怎么分还几把咋分咋分不想看你那猪头一样的老公了,2024-11-02 23:13,,,1,0,河南,,0,,vivo X60Edge蔡司影像,,普通用户
5099281640068037,6062447280,用户6062447280,瑞士卷这口软糯香甜根本没有对手！那么问题来了，如果你有8个瑞士卷怎么分,2024-11-10 21:55,,,1,0,河南,,0,,iPhone客户端,,普通用户
5096399635482514,1642413147,爱喝酸梨水的饭团妈,啊那个瑞士卷怎么分让我想起上周团哥和爷爷奶奶吃饭说给我们带了饭回来我点的牛排饭团团爸爸点的烤鸡奶奶说餐厅还送了一份特别贵的烤肉拼盘团团他爸接过来袋子打开就说：我吃烤肉拼盘，你吃牛排饭。我一下就火了，说：凭什么你吃烤肉拼盘，凭什么你就直接给安排了，你怎么就不问问我是不是想吃烤肉拼盘，你这么做像话吗？团团他爸：啊，你点的牛排饭啊你肯定是想吃牛排饭啊！我：你还点了烤鸡你怎么不说你吃烤鸡把烤肉拼盘给我！团团他爸：啊？有烤鸡？原来他以为爷爷奶奶看送了烤肉拼盘就没给他买烤鸡了……莫名其妙挨一顿臭骂,2024-11-02 23:03,,,25,13,天津,,0,,iPhone 14 Pro,,红V
5099279924331488,6408810516,秃头瞎子,凌晨一点:四个瑞士卷怎么分@ZBC无情哈了少,2024-11-10 21:48,,ZBC无情哈了少,8,8,山西,太原·山西医科大学迎泽校区,0,,vivo X100s,,普通用户
5096399241217020,3566977621,HAHA静静静,:家里有六块瑞士卷，如果以后有孩子了，怎么分:别吭声黑了咱俩偷着都吃了……,2024-11-02 23:02,,,9,3,河北,邯郸·邯郸紫山风景区,0,,Xiaomi 15,,普通用户
5099275015426424,5803643553,是Lan瑛,来自杰哥的投喂寿司之前还吃了一盒子凉皮儿一边吃一边和杰哥聊最近的（八个瑞士卷）事情我问杰哥我买了八个瑞士卷咱们一家四口怎么分杰哥说你四个我四个我说你是不是知道最近这个消息杰哥前几天出差不太注意我给他讲了很多版本我们一路说说笑笑吵吵闹闹Rafi在后面睡觉💤最喜欢周末杰哥带我们出去的时候。,2024-11-10 21:29,,,0,0,甘肃,,0,,iPhone客户端,,普通用户
5096399010531477,6880343994,不吃蛋糕1358,最近频繁在抖音刷到关于分瑞士卷这个考题的视频，很多已婚妇女回去之后都会询问自己的老公，六个瑞士卷与家里的孩子，妻子还有自己这三个角色之间该怎么分。我看了之后觉得可笑又可悲。可笑的是难道要靠分瑞士卷卷来证明自己的家庭地位吗？得多家庭地位就高吗？地位就低吗？一个小小的瑞士卷居然能有这么大的能量。视频中分得多的女性往往会格外的高兴，沾沾自喜的女性往往会觉得老公不解风情，觉得自己的老公是直男。这太可悲了，一个人要多么的自卑才会从一个小小的面包中获得存在感，希望得到证明。在我看来，地位不是靠事情来证明的。地位是自己给的。分面包也证明不了你的地位高低也不能证明你在你老公心里的重要性。即使你的老公以你为先给你分了六个瑞士卷都卷都给你了，那能证明什么呢？能证明他是一个好男人了吗？这就能证明你占据他心里所有的位置了吗？,2024-11-02 23:01,,,2,0,湖北,,0,,iPhone客户端,,普通用户
5099274020329314,6571524147,w雁南二马路没有夏天,一个瑞士卷要怎么分？,2024-11-10 21:25,,,0,4,陕西,,0,,iPhone客户端,,普通用户
5096395830464320,3477454675,我想我是峰了er,8个瑞士卷家里还有两个孩子你怎么分啊🐶：瑞士卷是啥咱俩吃哎小孩不能吃这个临了还说你想吃瑞士卷啊一会去买结果……他下午说好几个口味我以为他真懂呢差点以为今天能吃上了这可不就是8个嘛,2024-11-02 22:48,,,0,1,山东,,0,,iPhone客户端,,普通用户
5099271760118714,5693644905,Le__reveur,#生活手记#问：瑞士卷怎么分答：不分，自己吃完（P6看着很好喝，虽然一杯倒）,2024-11-10 21:16,,,3,7,河南,,0,,Xiaomi 14,生活手记,普通用户
5096395646438376,1077932781,辽辽臭老九,#生活手记#怎么刷视频都是在问瑞士卷怎么分？,2024-11-02 22:47,,,2,0,辽宁,,0,,被窝,生活手记,红V
5099271714506362,7911028085,CC_哼铭际遇,恒铭超话🪞#恒铭#🪞#恒铭镜影成双携手同行#🪞#恒铭暧昧拉扯无限眷恋#🪞#恒铭四代双神颜#🪞#恒铭初恋悸动迎光绽放#恒铭｜捡手机如果出现八个瑞士卷小恒小铭怎么分,2024-11-10 21:16,,,32,12,江苏,,0,,恒铭超话,"恒铭,恒铭 镜影成双 携手同行,恒铭 暧昧拉扯 无限眷恋,恒铭 四代双神颜,恒铭 初恋悸动 迎光绽放",黄V
5096395234873794,1820814617,开心无忧的小可爱,我：买了八块蛋糕，咱们怎么分？某狗：我吃一块就行我：是不是提前知道答案了？某狗：？（显然还没刷到瑞士卷的视频，我给他解释了一下瑞士卷的故事）某狗：都给你吃，不给孩子吃，吃多了糖对牙不好（）,2024-11-02 22:46,,,3,0,广东,,0,,iPhone客户端,,普通用户
5099271642942390,2755984805,甜蜜蜜8刘富贵,#瑞士卷##瑞士卷怎么分#分个p吃就完事了,2024-11-10 21:16,,,0,1,辽宁,,0,,HarmonyOS设备,"瑞士卷,瑞士卷怎么分",普通用户
5096394255768906,3789571377,Baobaota77T,假设八个瑞士卷你我还有两个孩子应该怎么分,2024-11-02 22:42,,,1,0,山东,,0,,iPhone客户端,,普通用户
5096391851119836,5969463701,胖鱼尾儿3,我：六个瑞士卷如果我们有宝宝我们三个怎么分🐟：还用我分好吃的话在回家的路上你就已经炫完了,2024-11-02 22:32,,,0,0,山东,,0,,iPhone 16 Pro,,普通用户
5096391638519696,6537075838,绮亦桉,我：假如咱们有一个儿子一个女儿，你要是买了一盒瑞士卷，里面有八个，你怎么分？我老公：咱俩一人三个，他俩一人一个，咱俩要是不够吃，再把他俩的抢过来（一脸真诚）,2024-11-02 22:31,,,0,0,山东,,0,,iPhone客户端,,普通用户
5096767177883784,5308484888,某娇www,#和小高的日常#最近流行的瑞士卷问题，我转换成小高爱吃的大蛋挞我：咱家买四个大蛋挞，咱俩怎么分着吃小高：我三个你一个我：为啥小高：我肚子大，你肚子小我：你这个回答，在网上是要被骂的,2024-11-03 23:24,,,3,5,辽宁,,0,,iPhone客户端,和小高的日常,普通用户
5096766519381801,5238326126,向阳的花花花i,跟👨说：我买了六个瑞士卷，你吃了俩，女鹅吃了俩，没说完，👨说我没吃，我那吃来……我说我打算买六个，你吃俩女儿吃俩，那俩咋办，👨说你吃俩就是，我说要你怎么分，👨说你全吃就是，女儿吃不着，我最近吃的挺好……👨一头雾水莫名其妙,2024-11-03 23:21,,,1,0,山东,,0,,iPhone客户端,,普通用户
5096765699133893,6343260915,先道渡人,记者问邱胜翊你有8个瑞士卷会怎么分邱胜翊说我给摸酱吃一个剩下的都给邱翊橙我不吃甜的,2024-11-03 23:18,,,0,0,北京,,0,,iPhone 12 Pro Max,,普通用户
5096764533377877,1777920653,600号放出来额_lsr,拿妈则丽丽刷来刷去侪是瑞士卷怎么分,2024-11-03 23:13,,,1,0,上海,,0,,Xiaomi MIX Flip,,普通用户
5096763969504062,6586828108,刘幼稚ma,我：我买八个瑞士卷，咱俩有两个孩子，你怎么分？他：八个都给你，我都不配，他俩不配。我：你是不是知道这个梗？他：这不是知不知道这个梗，他俩想吃不会再买吗？嗯！聪明哈哈哈哈,2024-11-03 23:11,,,5,4,河南,,0,,vivo S19,,普通用户
5096763952205636,5665908414,人其实是海水做的,别问你亲亲老公怎么分瑞士卷了这些就跟之前问自己老公以后会不会家暴自己一样,2024-11-03 23:11,,,4,0,安徽,,0,,海水里的iPhone客户端,,普通用户
