,round,id,user_id,screen_name,text,attitudes_count,comments_count,reposts_count,total_engagement
0,-1,5.1E+15,7750033999,叉叉小屁,基基怎么分八个瑞士卷//@乒乒帕帕:太典了我仿佛看到�上的爱当爹的赘男人了。。,201,0,0,201
1,-1,5.1E+15,5997542052,拆家的饭全都是黄磊做的,叔们是真糊了瑞士卷怎么分这种都没人桃了,3,3,0,3
2,-1,5.1E+15,7362070292,镇山猪哥,瑞士卷到底怎么分？媳妇能吃饭后小甜品吗？看东北人是怎么回答的。#瑞士卷L镇山猪哥的微博视频,11,2,0,11
3,-1,5.1E+15,5474626826,沉迷鲸鱼的小烟yu_,瑜约云奇超话顾顺就应该是另一款北燃之子楚一寒性格随爸，性情暴躁，一点就着，长相随妈顾顺性格随妈，情绪稳定，长相随爸震北以后打算怎么分瑞士卷啊?震北：顾儿想吃几个吃几个，他俩不会自己买啊,145,9,0,145
4,-1,5.1E+15,2408988485,可爱预告,所以八个瑞士卷应该怎么分L可爱预告的微博视频,1162,218,62,1224
5,-1,5.1E+15,5899648833,-布布BuBu-,八个瑞士卷星核猎手会怎么分#崩坏星穹铁道##星穹铁道二创#L-布布BuBu-的微博视频,23,13,9,32
6,-1,5.1E+15,5841821344,爱听郭德纲的厨子,李云天评书砸挂“八个瑞士卷”#瑞士卷怎么分##李云天##德云社#德云社超话L爱听郭德纲的厨子的微博视频,12,0,1,13
7,-1,5.1E+15,7949938954,Project7不粘锅,【�】耗狗是怎么分瑞士卷的,205,54,68,273
8,-1,5.1E+15,2478296471,科技测评狂人,#瑞士卷事件各方调查已介入#【“瑞士卷事件”真假难定，短视频摆拍何时休】#瑞士卷事件被质疑是剧本#据扬子晚报：近日，有关“8个瑞士卷怎么分”的视频上了热搜，视频中的女子自称是全职宝妈，与丈夫就家中八个瑞士卷怎么分、谁能吃一事起了争执。该事件引发“全职妈妈困境”“瑞士卷自由靠自己”等话题，讨论席卷全网的同时也被质疑是剧本，各方调查已介入。全文>>O“瑞士卷事件”真假难定，短视频摆拍何时休,58,24,0,58
9,-1,5.1E+15,7134700718,v脸小鼠鼠,八个瑞士卷怎么分？,19,36,0,19
10,-1,5.1E+15,7927732332,八十稻羽混的帮,2583【搜查队】八个瑞士卷怎么分,541,24,32,573
11,-1,5.1E+15,7726917402,被狮子男硬控一辈子,问:八个瑞士卷爱恩季6个人怎么分答:全给邓佳鑫吃，再点杯奶茶，因为邓佳鑫是氪金top实力主唱门面��,64,8,1,65
12,-1,5.1E+15,7649129545,鱼卷_不要困,八个瑞士卷怎么分我全部吃掉让他们再给我买八个没吃够,0,1,0,0
13,-1,5.1E+15,7908036490,404青你站,【】提问劲爆：八个瑞士卷怎么分江谷光:霓虹金打呦不吃瑞士卷07:黑咖喱和敏敏哥各三个我两个吧�敏敏:只有八个吗☺,13,1,0,13
14,-1,5.1E+15,5824859454,恋鼠狗妹,瑞士卷八个TF四代怎么分张亦然：八个都给左起寒陈均铭：八个都自己吃掉，想了想不太好又扣了半块给左起寒掌柜元：起寒一个，亦哼一个，波纹一个，剩下的准备放冰箱留着当早餐自己吃，结果被韩瑞偷吃了张韩瑞：让大家一人对他说一句好话看心情给，王鲁杰不用说先分三个，掌柜元说完了分0个左起寒：桂圆一个，俊铭一个，亦然一个，亦哼一个，围城一个，韩瑞一个，波纹两个羊波纹：妈妈不允许吃那么多甜食不健康所以打算八个都给起寒，结果看完起寒分的之后打算匀一个给桂园匀一个给军民陈亦哼：已经想好了一个给起寒一个给亦然一个给桂园结果头天晚上太馋了一不小心全吃了,153,2,94,247
15,-1,5.1E+15,3815502387,夏吱秋,底层男人没有爱情，雄竞一路高歌，顺风顺水的男人，尤其是年少成年的，对女人是真的有很多保护欲的，给钱也是真的大方。大概类似于“我已经拥有很多了，给别人分点也无所谓”半路起家，从底层升上来的，或者雄竞一直失败的，对女人的保护欲已经很少了。因为拥有的很少，所以脑子里都是，“该怎么让她在我这里利益最大化呢？”底层男人没有爱情的，或许8个瑞士卷都不让你吃是真的。,13,0,0,13
16,-1,5.1E+15,1722796230,哎呦呵JC-T多多爱洣,怎么办！吃了一半的瑞士卷怎么分？哈哈哈哈哈哈哈哈哈哈,15,17,0,15
17,-1,5.1E+15,2533739170,小兰兰无剧不欢,#林一的伴手礼有瑞士卷##林一送追剧团瑞士卷#这怎么分哈哈哈,0,0,0,0
18,-1,5.1E+15,1689974542,健康顾班长,【#一个瑞士卷的热量相当于一碗米饭##医生提醒瑞士卷不可吃多#】近日，“瑞士卷怎么分”很快引起全网热议，甚至不少网友晒出自己狂“炫”瑞士卷的截图。11月6日，国家注册营养师、湖南省胸科医院营养科主任张胜康提醒，一个瑞士卷的热量相当于一碗米饭，不宜多吃。（文李琪视频高煜棋）L健康顾班长的微博视频,0,0,0,0
19,-1,5.1E+15,7520471923,老张奔小康,瑞士卷怎么分？家有儿女还是太超前了,8,18,0,8
20,-1,5.1E+15,5171986047,哎呦是我喽,“我要吃果子”“我能吃两个吗”哈哈哈哈哈哈倘若有8个瑞士卷猴子你怎么分L哎呦是我喽的微博视频,79,6,7,86
21,-1,5.1E+15,1798336172,Sandy絮児,沈月穿搭，好好看，可可爱爱，小小一只瑞士卷怎么分，这对cp也没有逃过，真的好磕，继续撒糖。LSandy絮児的微博视频,86,8,6,92
22,-1,5.1E+15,1902256024,青春的泥沼,前一阵，怎么分瑞士卷上了热搜，好家伙，这几天七鲜超市把瑞士卷促销了。全国各地卖瑞士卷的人成了赢家，关键是味道也就那样啊。#瑞士卷怎么分##瑞士卷当事人称非常后悔并抱歉#,0,2,0,0
23,-1,5.1E+15,1051749147,点芯小宅,就瑞士卷怎么分那个事儿，真的离谱。追溯到源头就是一位全职妈妈怎么分瑞士卷蛋糕引起的，不管是真是假，带动流量是真的开始了。某书、各大直播间开始卖瑞士卷了，盒马也是执行力挺强的，借势营销是让你玩明白了。我说网上那么多卖货的都要先演个没脑子的情景剧是为了什么呢…,24,6,2,26
24,-1,5.1E+15,1820206877,内娱女主,《家有儿女》还是太超前了，8个瑞士卷怎么分，刘星早就给了我们答案，各位对这答案可还满意？,40,7,0,40
25,-1,5.1E+15,6244540051,LoverPoetry_金钟云情诗集,金钟云超话#艺术声带金钟云#艺声超话241111艺声迷你六辑一直�视频签售�：如果我和哥哥是夫妻，有两个孩子，我们四个人有八个瑞士卷，欧巴要怎么分呢？☁️：这说的是什么话？四个人分八块蛋糕…(�:对)☁️：就一个人吃两个呗！�：哦～欧巴是个冷静的人啊！如果是我的话，欧巴都吃了都行☁️：那怎么可能都吃掉！有八个呢…�：就…多吃点吧欧巴(工作人员说时间到了)☁️：(笑)总之，多吃蛋糕哦～(挥手再见)(Cr.小光小光)LLoverPoetry_金钟云情诗集的微博视频,507,53,79,586
26,-1,5.1E+15,6987364443,薄荷绿乌龙,33Svan超话“八个瑞士卷怎么分我自己吃八个我爱吃点瑞士卷爱吃点瑞士卷”好好好大馋丫头谁吃的过你啊爱吃多吃L薄荷绿乌龙的微博视频,136,5,0,136
27,-1,5.1E+15,1680351757,点开娱乐君,林一沈月《失笑》送的伴手礼！林一送的瑞士卷也是吃到了（很想问问瑞士卷林一怎么分？#失笑微博追剧团#林一超话,371,74,16,387
28,-1,5.1E+15,7811733866,ww的恋爱日记,瑞士卷的风还是吹到了我身上��&��背靠背，屁股贴着屁股，我看电视剧，他看游戏直播��扭头，捅咕我两下“你说，你要是有八个瑞士卷你怎么分”��“都给你吃，胖你一个人身上”��“那要是有宝宝了你怎么分”��“都给你都给你”��“嘿嘿幸福”��“你要是有八个瑞士卷你怎么分”��“我也都给你啊”��“孩子呢”��“啥好吃的他都想吃啊”��“谢谢你，但是我现在想吃桃酥了”��“买！再买点别的，明天拿着当零食”,130,20,0,130
29,-1,5.1E+15,5053946625,欢乐星球计划,搞笑超话#熏鸡销量#就很离谱，八个瑞士卷怎么分事件，导致山姆、盒马的瑞士卷卖爆了，山姆卖了十多亿，盒马没公布，觉得蹭这个流量会被反噬，但是阻挡不了人们玩梗的热情。电商的朋友说，青团、熏鸡也卖爆了…,0,0,0,0
30,-1,5.1E+15,5053946625,欢乐星球计划,#熏鸡销量#就很离谱，八个瑞士卷怎么分事件，导致山姆、盒马的瑞士卷卖爆了，山姆卖了十多亿，盒马没公布，觉得蹭这个流量会被反噬，但是阻挡不了人们玩梗的热情。电商的朋友说，青团、熏鸡也卖爆了…搞笑超话,0,0,0,0
31,-1,5.1E+15,6133905875,MD小姐姐Yuqi,回复@Holly年华似水:前两天是瑞士卷怎么分//@Holly年华似水:无语了,14,4,0,14
32,-1,5.1E+15,5138734984,InaMokYingXin,#熏鸡销量#什么是熏鸡知道的解释一下《再见爱人4》播出至今，“麦学”异军突起。要说互联的热潮真是不休不止前段时间流行怎么分瑞士卷，最近不少人又被“熏鸡”刷屏了。,21,7,5,26
33,-1,5.1E+15,1798445977,瑞文戴尔De星,#瑞士卷怎么分#要不说嘴毒还得是抖人，昨天在抖看到的瑞士卷视频，说ip在山东的，别问老公瑞士卷怎么分，就看打够级的时候你跟老公做对门他让不让你开点太狠了。妥妥的源自生活的铁锤啊。,1,0,0,1
34,-1,5.1E+15,6364387634,椰爺欧耶,王俊凯超话如果你有八个瑞士卷现在有成朗马亮庄文杰周正四个人你该怎么分？理由呢,667,128,37,704
35,-1,5.1E+15,2081296667,生活在辽宁,【东北人怎么分瑞士卷】“八个瑞士卷，如果好吃，我应该看不见，如果不好吃，我应该会吃七个半”这用分呐？！东北男人约等于剩饭处理机　刻在基因里的东北传统。L龙头视野的微博视频,7,0,1,8
36,-1,5.1E+15,7717693891,yu圈小妹,快来学#8个瑞士卷怎么分#已笑死Lyu圈小妹的微博视频,0,0,0,0
37,-1,5.1E+15,2255913581,沈阳身边事,【东北人怎么分瑞士卷】“八个瑞士卷，如果好吃，我应该看不见，如果不好吃，我应该会吃七个半”这用分呐？！东北男人约等于剩饭处理机　刻在基因里的东北传统。L龙头视野的微博视频,10,0,0,10
38,-1,5.1E+15,5885542232,小狗旺财,快来学#8个瑞士卷怎么分#已笑死..~L小狗旺财的微博视频,103,0,0,103
39,-1,5.1E+15,6633024917,千椰卷绘派,严江/葱花鱼一盒瑞士卷怎么分？步重华大概会因为保持身材一个不吃，然后以吴雩的味觉尚未痊愈为由也不让可怜的小鱼吃，于是严峫喜提瑞士卷一盒，并把两盒瑞士卷都给了江停。吴雩因无法忍受瑞士卷就这么离自己而去，偷偷地就溜到了严江家里，在表哥表嫂的掩护下顺利在步重华杀来之前吃完了半盒瑞士卷……最后可怜的小鱼被拎回家又一顿爆炒。,3,6,0,3
40,-1,5.1E+15,5367249470,逸行的治愈星空,女孩们，别跟着骗你们流量的人打女拳，这拳打得再好也带不给你财富与幸福，真正有用的拳是技能拳、资本拳、思维拳。30年前，很多(没说所有)男孩子在研究《大众软件》时，大量女孩子(没说所有)在看琼瑶；20年前，大量男孩子在研究编程与互联网商业，同时大量女孩子注册个论坛账号天天只研究找对象和美容……在过去的每个时代转折变革的节点，肯磕新技术，肯学习新应用，肯勇闯新商业模式的女孩，一直比男孩少很多。如今智能时代来了，你们觉得那些天天追恋综、天天呐喊的主题只有嫁与不嫁、生与不生、胖与不胖、瑞士卷怎么分，天天发声与争夺的战场只在微博小红薯评论区里的那些女孩，再过10年，会比已经开始研究AI商业与创作机会的女孩过得更好、还是更差呢？谁在未来会更有权呢？,345,30,45,390
41,-1,5.1E+15,7511849259,吃不吃棒棒糖呀,早上下雨了，我还起晚了，自己不敢开车，就在我们公司群里问谁还没走把我带到公司，然后…然后我们领导说“我！”…然后我就坐领导的车来公司的，路上闲聊问我带了什么早餐，我说瑞士卷你要吗？他说他血糖高不能吃，我说哦其实不怎么甜，他说那行给我来一个，我说好的好的！结果下车给他分的时候也没有多余的袋子，他拿手比划了半天，发现实在是不好拿，最后说那我还是不吃了我血糖高…,8,14,0,8
42,-1,5.1E+15,7370953266,电子寡妇互帮互助中心,【】你和mjg八个瑞士卷怎么分7140,383,146,20,403
43,-1,5.1E+15,6314973807,琪琪睡醒了Qq,三哥姐姐发的去看弟弟们演唱会给弟弟们买了水果和蛋糕所以八个瑞士卷怎么分L琪琪睡醒了Qq的微博视频,11,2,1,12
44,-1,5.1E+15,3036352233,贝吉塔IV,我说的晚婚晚育是指年轻人读到本科研究生毕业，然后靠自己在大城市打拼事业，攒首付定居生活的那部分人你说你如果高中、大专毕业就回老家相亲结婚，或者家里有钱可以啃老养娃，当然是选适龄生育比较好啊…问题是并不是所有的年轻人家里都能帮忙出首付，或者家里有人帮忙带小孩的那怎么办？牺牲女人工作全家靠老公养？找的老公养的起老婆孩子吗？能保证有这个人品和担当吗？老公会不会失业被裁员呢？我说的3个40岁才生娃的宝妈，其中两个都是有自己稳定事业才生娃的一个是自己搞旅游团的，销售性质朋友圈攒了很多客源另一个房地产行业，说有什么证，自己在家带娃还能赚40-50万/年的她俩整个人的状态就很松弛从容了…当然你说自己赚不到钱，不如早点结婚生孩子也可以啊想着靠别人、走捷径，那就只能赌对方人品运气好还可以，运气不好就是上网问八个瑞士卷怎么分了（这其实是大概率，毕竟大部分男人自己也能力有限）我没有鼓吹大家晚婚晚育或者不婚不育只是当年轻人自己都养不起自己的时候，只能说谨慎生育吧毕竟生了可是塞不回去，是要对孩子负责的（男人可以不管孩子，当妈的能跑吗？舍得孩子吗？）,45,5,3,48
45,-1,5.1E+15,1769469393,亟兮般若,我确实无法理解家里有八个瑞士卷怎么分？这种愚蠢的问题会这么流行。这种情况80%的人都遇不到，首先你得有个老婆吧？然后你还得有孩子，一半的人就没了，谁家老婆会给自己亲生的娃买反式脂肪酸爆棚的瑞士卷？就算有，都强势到买了，你还奢望她来问你怎么分？真有基本也离婚了！提出这种逻辑问题的不是单身狗就是没带过娃！要么即将单身。#八个瑞士卷#,377,121,10,387
46,-1,5.1E+15,5729760101,小梦软糖ovo,八个瑞士卷NPC有九个人怎么分？回答：分四顿吃。已知九个人吃两碗重庆小面一盒瑞士卷有八个且瑞士卷能掰成一块一块的所以不过期的情况下一顿吃俩够九个人吃四顿。,64,14,1,65
47,-1,5.1E+15,6970465257,脑袋里想不出一个字,"lingorm超话�#lingorm#今天女朋友突然问我买了八个瑞士卷该怎么分，她好像很满意我的回答，还一起吃了饭哦☺️专栏·lingorm
专栏·limgorm捡手机",140,10,1,141
48,-1,5.1E+15,6124785491,阿画不喜,八个瑞士卷sdfj怎么分?,28,9,0,28
49,-1,5.1E+15,5899648833,-布布BuBu-,人有五名，瑞士卷有八个，怎么分#崩坏星穹铁道##星穹铁道二创#L-布布BuBu-的微博视频,29,13,10,39
50,-1,5.1E+15,7824245054,地团儿,tg中大家的瑞士卷应该怎么分,45,17,0,45
51,-1,5.1E+15,7742256142,菠萝板栗酥my,我有六个瑞士卷怎么分？,78,78,0,78
52,-1,5.1E+15,6109003860,听玉见野,八个瑞士卷到底怎么分八个瑞士卷全都是我吃女儿吃一巴掌儿子吃一巴掌老公更是降龙十八掌想吃的勿近偷吃的更是滚开��,5,5,0,5
53,-1,5.1E+15,7824245054,地团儿,地团儿有八个瑞士卷，怎么分,217,30,6,223
54,-1,5.1E+15,1256363904,顶流颜究社,8个瑞士卷怎么分，《家有儿女》的刘星早就给了我们答案了,251,102,112,363
