id,user_id,screen_name,text,created_at,article_url,at_users,attitudes_count,comments_count,ip,location,reposts_count,retweet_id,source,topics,user_authentication
5.11E+15,6554289904,·泽魚惑森狼·,林一超话林一八个瑞士卷怎么分,2024/11/28 23:59,,,1,2,湖南,,0,,林一超话,,普通用户
5.11E+15,5691991191,猪猪侠哈皮九,一个人可以吃八个哦#瑞士卷怎么分##每天都还想再吃##好吃好吃好吃#,2024/11/28 22:46,,,0,0,陕西,,0,,HUAWEI Mate 60 Pro,"瑞士卷怎么分,每天都还想再吃,好吃好吃好吃",普通用户
5.11E+15,5893724660,笨蛋小狗撑把伞,�“一盒瑞士卷八个怎么分”�“太饿了路上吃了一个，剩下七个都给你”,2024/11/28 20:38,,,0,2,山西,,0,,,,黄V
5.11E+15,6053820520,我有食人瘾,有人问刘显德和厉小海怎么分瑞士卷，刘显德惊讶的说啊难道不是回家路上就吃完了吗？（自己啃啃还会投喂到厉小海嘴里（你开车别乱动张嘴就行）,2024/11/28 19:30,,,1,2,广东,,0,,,,普通用户
5.11E+15,1814348907,葛巾紫小窝,#瑞士卷怎么分#问栋哥，八个瑞士卷，我可以吃几个？他：瑞士卷是啥？,2024/11/28 18:46,,,2,3,湖北,,0,,iPhone客户端,瑞士卷怎么分,普通用户
5.11E+15,7346220742,剧透了,#祝绪丹采访好可爱##被祝绪丹三哼挑战可爱晕了#要被祝绪丹的三“哼”挑战可爱晕了。采访时被要求表演三种不同的“哼”：小失望、小疑问、小生气。阿姐真的，每个哼都带着带着超强信念感在完成，还每种都要表演两次。。认真的状态里又夹着层层微醺感。感觉旁边的女生已经要笑不活了hhhhhhh同时还被问到6个瑞士卷一家四口怎么分，“可以吃六天”真的完全意想不到的回答，虞书欣和丁禹兮掉进水里先救谁，“先去。。找救援”，阿姐是什么天赋型接梗选手，网友锐评：丁禹兮连夜背梗都比不过其他三个先天抽象圣体。P.S祝绪丹这个兔子耳朵阿姐发型好可爱喔，一上来就说专门为了旁边采访的女生做的，我要是那个女生我也要被击中了！！！！L剧透了的微博视频,2024/11/28 17:56,,,7882,2216,辽宁,,3976,,拒绝内卷打工人,"祝绪丹采访好可爱,被祝绪丹三哼挑战可爱晕了",金V
5.11E+15,7284656633,天选妹狗,Babymonster七个人怎么分八个瑞士卷？,2024/11/28 17:25,,,6,21,四川,,0,,੯‧̀͡⬮iPhone客户端,,普通用户
5.11E+15,5128076936,宇宙超级无敌舰队,上了一天破班打开手机刷到这个场景我他妈天斗塌了，能不能封杀lhl太他妈影响社会价值观了，他俩就活该过穷日子好不好，每天就研究着怎么分八个瑞士卷可能他俩就开心了，神经病吧！有病吧！黄圣依下了节目一定要去拜拜！去去晦气！什么东西啊！人果然只能挣自己认知内的钱，太棒了赶紧把自己的宝贝媳妇领回去好好疼爱吧！神经病！,2024/11/28 17:08,,,0,1,浙江,,0,,iPhone客户端,,普通用户
5.11E+15,2917703850,HUSHZYI,瑞士卷怎么分？我一人全吃了,2024/11/28 14:59,,,1,2,江西,,0,,iPhone客户端,,普通用户
5.11E+15,5940294686,樱桃是九熟,有这样的瑞士卷你怎么分太香了我不可能跟别人分，老公0个孩子0个我全吃了,2024/11/27 23:17,,,0,2,广东,,0,,荣耀90 Pro 写真相机,,普通用户
5.11E+15,5173239667,兰州新城事,#初雪#【瑞士卷怎么分！】东北多地下雪！但东北下雪可就得这样玩，看看像不像你的瑞士卷啊，怎么分呢？L老哥一线的微博视频,2024/11/27 22:36,,,0,0,陕西,,0,,微博视频号,初雪,红V
5.11E+15,5703611755,janine_oonne,一盒八个瑞士卷怎么分,2024/11/27 22:33,,,0,1,广东,,0,,iPhone客户端,,普通用户
5.11E+15,1873975927,一颗核桃仁儿_,不存在一盒瑞士卷怎么分的问题因为全是我的！！,2024/11/27 22:32,,,7,1,上海,,0,,聪明仙女的iPhone 12 Pro,,普通用户
5.11E+15,7615082204,Sherry灰原三三,八个瑞士卷怎么分,2024/11/27 22:07,,,0,4,北京,,0,,iPhone客户端,,普通用户
