微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1Zvzv5F2,#专家称马斯克将是中国面临的最大挑战#“竞争的核心是谁比谁更开放。最终的赢家无疑将是更开放的一方。”郑永年说，“我相信我们肯定会胜过美国。”  原图 ,,https://wx2.sinaimg.cn/large/006H7f7Jgy1hvyx9qyfapj30wi1jy7hb.jpg,无,无,2024-11-25 23:55,iPhone 13 Pro(银色),23,0,9
P1YLg1kHW,#管晨辰称接受不了吴柳芳用体操擦边#那以后带货也请不要带着“国家队”的抬头。  ,,无,无,无,2024-11-25 22:01,iPhone 13 Pro(银色),16,1,2
P1YGB2Y5Q,来聊聊日本牛郎吧。昨晚感觉要感冒发烧了，吃了药很早就躺在床上看英超了。看完阿莫林还睡不着，刷到一个解析岛国牛郎产业链的视频，也终于搞清楚为什么那些店不接待外国人。牛郎店的酒水是提成的，基本上五五开。我们看到的那些广告牌上写着某个“金牌牛郎”一年卖出一个亿，那他的保守收入就有5000万日元。他们喜欢哄骗女学生和刚上班的女生，把她们灌得酩酊大醉后再大开香槟，那些女生醒来已经欠了几十万日元。之前是可以赊账的，但几年前日本ZF立法不允许牛郎店赊账，就是商家和顾客不能有经济关系。于是呢，变成了牛郎私人放贷给顾客。那些牛郎店和GLD都是挂钩的，他们通过这种方式来压榨女性。所以只接待本国女性并不只是因为语言关系，而是外国人赊账跑了就追不回来了。对他们来说，外国人没有经济价值。据统计在我们熟悉的那个公园里，有6成年轻女性都是因为欠了牛郎店的钱而成为“女墙人”的。一个牛郎曾经和十几个樱花妹说会和她们结婚，那些女的很难走出这段感情。日本也成立了帮助这些沉迷牛郎店的女性的机构，给她们提供心理咨询和正常的工作机会，但好像收效甚微。牛郎店就像XJ一般继续毒害着女性。一个接受采访的樱花妹说，从小到大那个牛郎是唯一让她觉得有存在感的人，让她心甘情愿付出自己的所有。日本可能是人均最孤独的国家。很多人没有朋友，没有邻居，和家人也不说话。他们宁愿花钱去咖啡店、牛郎店寻找能提供情绪价值的陪伴也不愿向身边人吐露心声。这可能是看似光鲜亮丽的岛国文化的一部分。下次我去PUA个牛郎试试。 [组图共4张] 原图 ,,"https://ww3.sinaimg.cn/large/006H7f7Jgy1hvysxa141wj32c0340x6q.jpg,https://ww4.sinaimg.cn/large/006H7f7Jgy1hvysxcx399j32c0340u0y.jpg,https://ww4.sinaimg.cn/large/006H7f7Jgy1hvysxeq7v7j32c0340qv7.jpg,https://ww3.sinaimg.cn/large/006H7f7Jgy1hvysx7q7nlj32c03404qr.jpg",无,无,2024-11-25 21:50,iPhone 13 Pro(银色),17,2,10
P1Yqwwapw,#管晨辰称接受不了吴柳芳用体操擦边# 音乐配错了，这段也变成擦边了。 MD小姐姐Yuqi的微博视频  ,,无,无,无,2024-11-25 21:10,iPhone 13 Pro(银色),14,0,6
P1Y5rfL4O,别瞎说！我没有！不是我！  原图 ,,https://wx2.sinaimg.cn/large/006H7f7Jgy1hvyr078qg8j30wg1v61er.jpg,无,无,2024-11-25 20:18,iPhone 13 Pro(银色),63,17,60
P1XTh6KXF,#迪士尼直播#电动轮椅突然“扎堆”上海迪士尼，一天200元，旺季还需预约！有网友称“开得像碰碰车” 上礼拜去的时候我还在想：是不是今天残疾人搞团建了？？#上海迪士尼#  ,,无,无,无,2024-11-25 19:48,iPhone 13 Pro(银色),5,1,2
P1XaHfNih,看到朋友圈有人独自去日本旅游，然后一个人在观景台躺平了好久  [组图共4张] 原图 ,,"https://ww1.sinaimg.cn/large/006H7f7Jgy1hvymxm3efyj30qo0zkgnz.jpg,https://ww4.sinaimg.cn/large/006H7f7Jgy1hvymxmjg0zj313i0zkgy3.jpg,https://ww4.sinaimg.cn/large/006H7f7Jgy1hvymxmw06hj30qo0ueq70.jpg,https://ww2.sinaimg.cn/large/006H7f7Jgy1hvymymju7sj31be0zk0u8.jpg",无,无,2024-11-25 17:58,iPhone 13 Pro(银色),55,21,19
P1X009HdX,好像已经没有正常的鞋子了  [组图共2张] 原图 ,,"https://ww3.sinaimg.cn/large/006H7f7Jgy1hvym7e7kt4j32c0340x6p.jpg,https://ww3.sinaimg.cn/large/006H7f7Jgy1hvym7g52o4j32c0340npe.jpg",无,无,2024-11-25 17:32,iPhone 13 Pro(银色),20,3,12
P1WNh0RlU,#部分劣质羽绒服填充物竟是飞丝#关键词：劣质羽绒服，潜藏致病危险，童装网店，罚款1.5万   原图 ,,https://wx4.sinaimg.cn/large/006H7f7Jgy1hvyla8n3m3j30wi1pnkdk.jpg,无,无,2024-11-25 17:01,iPhone 13 Pro(银色),5,0,5
P1WEb0K4c,#边牧 为什么要把我和狗关在一起# 据说这种狗子特别容易卡住 II  [组图共2张] 原图 ,,"https://ww1.sinaimg.cn/large/006H7f7Jgy1hvykn25ukbj30go0go3z5.jpg,https://ww2.sinaimg.cn/large/006H7f7Jgy1hvykn2jq8gj30fo0i6myg.jpg",无,无,2024-11-25 16:38,iPhone 13 Pro(银色),11,1,6
P1WDF2Bxu,#猫咪带着弹幕走来了#老板，给我装满！  原图 ,,https://wx3.sinaimg.cn/large/006H7f7Jgy1hvykm11oxtj30yh0yimzf.jpg,无,无,2024-11-25 16:37,iPhone 13 Pro(银色),8,0,4
