微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1VNL83qf,#微博尝鲜计划##舌尖上的美食##微博火锅节##JOJO小乔吃喝玩乐[超话]#老师 朋友 亲人💕南京大学商学院，博士生导师，社会学博士朱虹教授💓在人生蕞至暗的时刻遇到虹教授她是我生命里的光丽思卡尔顿在南京属于蕞高规格的酒店和宴席食材品质非常讲究做法和口感上秉承了淮扬菜系注重食材的鲜、活口味平和，原汁原味是地道的秦淮风味非常喜欢～💕🎈http://t.cn/Ai0DaSwb [组图共14张] 原图 ,,"https://ww2.sinaimg.cn/large/765a222dgy1hvydmr2pt4j22bc334x6p.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvydmuuawvj22bc334b2a.jpg,https://ww2.sinaimg.cn/large/765a222dgy1hvydmzan71j22bc3347wi.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvydn3gmo0j22bc334x6p.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvyfuhdjfmj22bc3341kz.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvydnk6kftj22bc3344qq.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvydmn34b2j22bc334kjl.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvydn6dt45j22bc334e81.jpg,https://ww2.sinaimg.cn/large/765a222dgy1hvyfz3ugojj22bc334kjl.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvyfz0n3j2j22bc334qv5.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvydnp9e4mj22bc334u0z.jpg,https://ww2.sinaimg.cn/large/765a222dgy1hvydnmsmfhj22bc334b2b.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvyfytft2ej22eo37kqv7.jpg,https://ww2.sinaimg.cn/large/765a222dgy1hvyfywkl8wj22eo37knpe.jpg",无,无,2024-11-25 14:29,JOJO小乔吃喝玩乐超话,247,151,181
P1s5ECKmR,#小雪吃什么##小雪##一条微博记录小雪##JOJO小乔吃喝玩乐[超话]#❄小雪也要吃肉肉🥩🍗羊排牛排稍微来点儿又滋补暖和又美味～☀🎈 乔小夏的微博视频  ,,无,无,无,2024-11-22 10:51,JOJO小乔吃喝玩乐超话,199,158,175
P1j8JkGFx,#微博火锅节##火锅必备好物##微博尝鲜计划##JOJO小乔吃喝玩乐[超话]#歪国一颗苹果糖葫芦4/50🍎吓得我赶紧在家多吃两个今天吃苹果糖葫芦🍡日赚100话说回来～这样的苹果糖🍎你会买嘛？🐶🐶 乔小夏的微博视频  ,,无,无,无,2024-11-21 12:04,JOJO小乔吃喝玩乐超话,200,161,186
P1c1GCfAH,#微博火锅节##火锅必备好物##微博尝鲜计划##JOJO小乔吃喝玩乐[超话]#平安健康又一年🌷这句话的含金量还在提升💕✨生日最好的礼物🎁榜单更新💓💓今年的柿子太太太太甜了还带着流心吃火锅儿解辣必备啊哈哈哈～有些朋友一年也说不上一句话🍀但仍然每年准时准点送上祝福🌟宇宙那么大💫🌎感恩被记挂🌷✨ [组图共6张] 原图 ,,"https://ww4.sinaimg.cn/large/765a222dgy1hvspegr61jj22bc334x6q.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvsupcmdbaj22bc334u0x.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvsupepshkj22bc334hdu.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvspeemrozj20xw0nljvl.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvspeig4z6j20xw2304a4.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvspej39buj20xw230nbt.jpg",无,无,2024-11-20 17:57,JOJO小乔吃喝玩乐超话,195,144,171
P11MXzQSl,#微博火锅节##冬天的第一顿火锅##全国火锅图鉴##JOJO小乔吃喝玩乐[超话]#天冷啦来份火锅七七八潮汕生蚝火锅🦪️从此生蚝自由啦～🎉💕 乔小夏的微博视频  ,,无,无,无,2024-11-19 15:53,JOJO小乔吃喝玩乐超话,191,151,161
P0JAVvqdD,#city drink##干杯接力挑战##微博跨域团##JOJO小乔吃喝玩乐[超话]#这杯咖啡比上次那个看起来颜值更高💕这杯卖给上海人是另外的价钱💰588＋100=688可行？ 乔小夏的微博视频  ,,无,无,无,2024-11-17 17:34,JOJO小乔吃喝玩乐超话,206,150,182
P0yHCbaUY,#微博火锅节##我的人生火锅##一口吃出好彩头##JOJO小乔吃喝玩乐[超话]#天冷啦，爱心火锅🥘走起来～城市里的天台帐篷⛺三五好友小聚别有一番风味～  [组图共12张] 原图 ,,"https://ww1.sinaimg.cn/large/765a222dgy1hvo15aftakj20u01900z9.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15cvpo3j20u0190dna.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15bxdhxj20u0190agv.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15ay3lxj20u0190gsu.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15dp7dgj20u0190qcc.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15dbj7oj20u01907cm.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvo15heysnj21900u0q9w.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15e756ij20u0190gsq.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15ff327j21900u0dnv.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvo15ftdv0j20u0190tg2.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvo15g7up7j20u0190aip.jpg,https://ww3.sinaimg.cn/large/765a222dgy1hvo15hygijj21900u0thr.jpg",无,无,2024-11-16 13:51,JOJO小乔吃喝玩乐超话,225,157,174
P0yp4opUd,#舌尖上的美食# #微博尝鲜计划# #一口吃出好彩头# #JOJO小乔吃喝玩乐[超话]#我们都是时代家庭命运的共同体谁都绕不过命运的安排和重复如果一切回到2016我们都要好好选择当下一切从头来过不早也不晚  原图 ,,https://wx3.sinaimg.cn/large/765a222dgy1hvnzshnikhj20xw230gyg.jpg,无,无,2024-11-16 13:05,JOJO小乔吃喝玩乐超话,196,137,148
P0y3SpDUG,#被仓鼠视角的猫萌晕了##JOJO小乔吃喝玩乐[超话]#养过二只猫猫一只加菲，叫糯米，是个女生一只狸花，叫八碗，是个男生男生更粘人，女生更傲娇（跟我们人类是一样的🥰）虽然现在两只猫猫都不在我身边但是他们曾经存在过的意义让我们受益终身很多时候不是喵喵需要我们而是他们教会了我们什么是爱和包容比如从不在早上叫醒我吃早餐只会静静的等待 温柔的注目比如出差寄养朋友家绝食3天就差没饿S自己动物的爱远比我们想象的还要更加纯粹和深爱[查看全部图片/视频] ,,无,无,无,2024-11-16 12:13,JOJO小乔吃喝玩乐超话,195,147,163
P0r84jBRP,#吃喝玩乐皆是非遗##微博尝鲜计划##JOJO小乔吃喝玩乐[超话]#这真是我吃过最有料的肉堡芝士🧀蛋包饭了 乔小夏的微博视频  ,,无,无,无,2024-11-15 18:34,JOJO小乔吃喝玩乐超话,526,377,255
OFUlXDTkC,#茶百道怎么喝最好喝#🎉哇哇哇，果果们，我们家成毅[茶百道成毅] 又上大屏幕啦～我可太喜欢茶百道的经典口味了，金萱乌龙提神醒脑，招牌芋圆奶茶怎么会这么好喝呢？杨枝甘露一年四季都喜欢，整杯都是满满的料，太有诚意了～！！[茶百道成毅] 如何一次性全部拥有？快来戳下方的视频👉💕10月8日，成毅[茶百道成毅] 正式成为茶百道全球臻质品牌代言人，从8号到27号，大家直接冲茶百道成毅主题店就可以get同款周边，还有城市地标大屏可以合影！！[茶百道成毅] 🥝果果们[茶百道成毅] 冲呀～更多好玩的创意周边等你来～👏👏👏#成毅的百道可能# http://t.cn/A6n8KX5v ,,无,无,无,2024-11-12 13:36,微博视频号,7252,1826,1211
OFUjK0rpn,#茶百道怎么喝最好喝##成毅的百道可能#🥝宝们👋，11月8日茶百道官宣成毅[茶百道成毅] 为「茶百道全球臻质品牌代言人」啦🎉，那排面真的爆赞呐～多个城市地标、机场大屏、地铁站点、公交专线都有宣传，感觉走到哪都能看到成毅拿着茶百道的帅气模样呀～🥰[茶百道成毅]  ✔️11月8日至11月27日，茶百道成毅[茶百道成毅] 线下主题店还有敲多周边🤩，买了四杯套餐，送了敲可爱的纸袋、杯套，还有小卡套装，运气爆棚还拿到了亚克力立牌[茶百道成毅] 哇哈哈哈！大满足啦～😎[茶百道成毅]  🧋哎呀真的很爱茶百道～[茶百道成毅] 🌸桂花金萱奶冻，是桂花香和奶冻的丝滑在嘴里交融，每一口都仿佛味蕾在跳舞💃🌸鲜奶茉莉奶绿和茉莉奶绿牛乳，是清新的茉莉搭配上醇厚的奶味，浓郁又清爽，满口留香～🌸杨枝甘露真的满满都是料，太有诚意了～🌸招牌芋圆奶茶每次喝都还是一如既往的敲爱啊啊啊～ 💕嘻嘻～四舍五入是跟成毅[茶百道成毅] 喝了同一杯呢哈哈～🥳，宝们快去茶百道打卡，把成毅[茶百道成毅] 周边都带回家呀，冲就完事儿啦💪[查看全部图片/视频] ,,无,无,无,2024-11-12 13:30,无,2472,1471,817
OFStVC20k,#晓华拉动现场消费超2000万元##晓华拉动全市消费1.2亿元##微博尝鲜计划##JOJO小乔吃喝玩乐[超话]#还的是我湖南的妹子没有那么多花里胡哨聪明 能干 乐观 朴实内个，来碗常德米粉不？～  [组图共6张] 原图 ,,"https://ww3.sinaimg.cn/large/765a222dgy1hvj60y02wjj22bc3341kz.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvj610po4gj22bc334x6q.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvj60yqlamj20xc18gwr3.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvj613sb54j20xc18g4au.jpg,https://ww2.sinaimg.cn/large/765a222dgy1hvj6135skfj22bc3344qr.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvj614bix6j20xc18ggxl.jpg",无,无,2024-11-12 08:50,JOJO小乔吃喝玩乐超话,185,151,168
OFr6rpVmY,#冬日治愈系美食##立冬四件套##一口吃出好彩头##JOJO小乔吃喝玩乐[超话]#上帝的暗示还不明显嘛？🥰要不晓明哥你也看看我@黄晓明 我不分手，管饭就行  [组图共4张] 原图 ,,"https://ww4.sinaimg.cn/large/765a222dgy1hvfsz0ubxxj22bc334u0y.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvft2m8nmgj22bc334u0y.jpg,https://ww1.sinaimg.cn/large/765a222dgy1hvft2phnzlj22bc334kjm.jpg,https://ww4.sinaimg.cn/large/765a222dgy1hvft2sihwhj22bc334b2b.jpg",无,无,2024-11-09 11:08,JOJO小乔吃喝玩乐超话,232,149,195
OFiag89S7,#冬日治愈系美食##立冬四件套##一口吃出好彩头##JOJO小乔吃喝玩乐[超话]#巨无霸厚切炸猪排滑蛋饭🫔这一块吃下去能管三天[ok] 乔小夏的微博视频  ,,无,无,无,2024-11-08 12:23,JOJO小乔吃喝玩乐超话,3411,1120,681
OF8wd6BDU,#冬日治愈系美食##立冬四件套##一口吃出好彩头##JOJO小乔吃喝玩乐[超话]#这年头喝个奶茶不容易还得爬个梯子可行？？ 乔小夏的微博视频  ,,无,无,无,2024-11-07 11:49,JOJO小乔吃喝玩乐超话,3375,1087,689
