微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1YgZw0hK,#江浙沪人是先天留学圣体吧# 当山东留学生在德国成功做出白面馒头，瞬间成为朋友们膜拜的对象！网友：这在国外不得一口一口掰着吃#搞笑# （台州交通广播） 今日张店的微博视频  ,,无,无,无,2024-11-25 20:47,微博视频号,500,43,38
P1XoS8ZHb,#国考和省考区别# 相信吸引力法则！当你刷到这条视频的时候，说明你就要上岸了！点赞助力上岸！ #2025国考笔试本周末开考##国考[超话]# 今日张店的微博视频  ,,无,无,无,2024-11-25 18:33,微博视频号,35,28,31
P1XmU8Vgh,#晚安[超话]#【张店警方发布通告！相关人员速去报案！】11月25日，淄博市公安局张店分局发布关于侦办淄博中管汇商贸有限公司非法吸收公众存款案有关事项的通告。#张店小二# #高级幼师徐艺洋全年无休#  原图 ,,https://wx3.sinaimg.cn/large/dcc1a87cly1hvynyao343j20u01gn7cx.jpg,无,无,2024-11-25 18:29,无,64,58,67
P1Xl0eNs6,#100万起拍的糖葫芦摊位去年40万成交# 哈尔滨冰雪大世界糖葫芦摊位费100万元起拍？哈尔滨市拍卖行回应：属实，是9个糖葫芦卖点摊位打包价，对售价有要求，草莓6粒30元每串，山楂9粒15元每串。#冰雪大世界雪圈租赁270万成交#（汉新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 18:24,微博视频号,29,29,30
P1XhlaMQr,#花140万买到了230平的房子# 90后独居男生晒新房，只装了一间豪华电竞房，其他都是毛坯，网友：斯是陋室，惟尔的新#上班后微信不敢乱取名字了#（都市爱家） 今日张店的微博视频  ,,无,无,无,2024-11-25 18:15,微博视频号,73,29,31
P1X85bc10,#潘展乐等11位奥运冠军抵达新疆# 奥运冠军天团抵达新疆，下了飞机温度只有-8℃，潘展乐立刻把自己裹得严严实实。#潘展乐捂得严严实实##潘展乐睡炸毛了# （中国蓝新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 17:52,微博视频号,272,34,36
P1X55atbx,#有家暴倾向的人大多有13个特征# 女子怀孕四个月被老公多次家暴，婆婆阻拦后再遭连续扇脸，女子：记不清这是第几次了，这就是加错人的结果。#家暴的人真的会悔改吗# （长城新媒体） 今日张店的微博视频  ,,无,无,无,2024-11-25 17:45,微博视频号,28,26,28
P1X1mxvWc,#冬天如何选一件不踩坑的羽绒服# 今年羽绒服价格上涨竟然和猪有关？从业人员：鸭绒价格57万一吨，上涨近1倍。业内：猪肉价格较低影响鸭鹅肉需求，鸭鹅养殖减少，导致绒毛涨价。#羽绒服价格为何贵不动了# （乐享平湖） 今日张店的微博视频  ,,无,无,无,2024-11-25 17:36,微博视频号,23,23,23
P1WXh2UOC,#上班后微信不敢乱取名字了# 5000块的工资有46个工作群，劳动者微信工作被视为加班，到岗“值班”应认定为加班，需要支付加班费。#39岁失业后在菜市场重启人生#（《电商》杂志社） 今日张店的微博视频  ,,无,无,无,2024-11-25 17:25,微博视频号,19,18,18
P1WNNAnyJ,【#有家暴倾向的人大多有13个特征#】#家暴者可分为3种类型# ①普通型：偶尔会脾气失控，对他人拉扯、大吼、打耳光。②恶犬型：像极凶恶的狗，总是怪罪对方，看不见自己的过失；外表很强势，内心却没有安全感，依赖妻子，怕被妻子抛弃，时常用高压行为来遮掩心理上的软弱；大男子主义，认为男人天生就应该受人服侍；滥用权利和使用各种方法使妻子顺服。③眼镜蛇型：施暴者善于冷眼观望，能看透别人的心思，不作声时最可怕，等时机成熟时就用最快速、最精确有效的方式进行打击；崇尚暴力和权威，喜爱刺激与掌控；极度自信，若受挫于人必须加倍报复；目光犀利，说起话来总是皮笑肉不笑，非常冷酷无情；施暴时不会像一般人脸红脖子粗，心跳和血压反而会降低，在生理和心理上更趋稳定。对于普通型施暴者，个人反省、亲人的帮助、改变的意愿、接受心理治疗，能起到行为纠正的效果。而恶犬型和眼镜蛇型施暴者，只用心理治疗是无效的，因为施暴行为本身就是他人格特征的一部分，比较稳定，如果没有外界力量的介入，施暴行为会反复出现。11月25日是联合国“制止暴力侵害妇女行为国际日”，英国埃克塞特大学教授马丁·赫伯尔特所著的《防止家庭暴力》一书中，总结了家暴者的13条心理特征↓（生命时报） [组图共3张] 原图 ,,"https://ww2.sinaimg.cn/large/dcc1a87cly1hvylc8k6ghj20wi3fch55.jpg,https://ww3.sinaimg.cn/large/dcc1a87cly1hvylc9kqqkj20wiadwb2a.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvylca688lj20wi1hbqb8.jpg",无,无,2024-11-25 17:02,无,15,15,15
P1WwVEu4I,#羊毛月曾称万柳书院业主为少爷# 网红“羊毛月”塌房后，过往言论再引争议。曾称万柳书院业主为“少爷”，并向其自荐当保姆。其视频内容60秒广告报价35万，22年就已提车保时捷。#羊毛月没资格嘲笑每个努力生活的人#（齐鲁频道） 今日张店的微博视频  ,,无,无,无,2024-11-25 16:21,微博视频号,19,17,17
P1Wuxvp2D,【雪天出行安全指南】暴雪天气地面湿滑，大家在出行时需要注意什么呢？戳↓↓↓快速了解分享收藏（央视网） #泰山下暴雪了#  [组图共9张] 原图 ,,"https://ww1.sinaimg.cn/large/dcc1a87cly1hvyjyuzfbrj20a00dc0t8.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvyjyv7aqij20a00dcjs3.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvyjyvdoijj20a00dcdgj.jpg,https://ww2.sinaimg.cn/large/dcc1a87cly1hvyjyviip7j20a00dcdgc.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvyjyvnvlzj20a00dct9d.jpg,https://ww3.sinaimg.cn/large/dcc1a87cly1hvyjyvv055j20a00dct97.jpg,https://ww2.sinaimg.cn/large/dcc1a87cly1hvyjyw30dzj20a00dczks.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvyjyw83p0j20a00dcq3m.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvyjywelkoj20a00dc3z3.jpg",无,无,2024-11-25 16:15,无,16,15,16
P1Wtkg1IK,【读懂身体释放的危险信号，别让癌症找上你！】熬夜压力大，体重莫名减轻；长期吸烟，突然咳嗽咯血…这很可能是癌症的早期征兆！9大高发癌症早期征兆+高发人群+排查方法↓↓希望遇不到，但一定要知道！转存！#14个癌症早期信号一定要知道#（人民日报）  [组图共9张] 原图 ,,"https://ww3.sinaimg.cn/large/dcc1a87cly1hvyjvqe3hdj20dw0h1tbj.jpg,https://ww2.sinaimg.cn/large/dcc1a87cly1hvyjvqnr3sj20dw0gy0vl.jpg,https://ww3.sinaimg.cn/large/dcc1a87cly1hvyjvqyurcj20dw0fgwh6.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvyjvr776lj20dw0gd76v.jpg,https://ww2.sinaimg.cn/large/dcc1a87cly1hvyjvreg6vj20dw0esdhz.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvyjvrmli5j20dw0gygob.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvyjvrtj6lj20dw0gygob.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvyjvs0jdij20dw0dd40f.jpg,https://ww3.sinaimg.cn/large/dcc1a87cly1hvyjvsagddj20dw0h176s.jpg",无,无,2024-11-25 16:12,无,18,33,31
P1WsS448U,#花140万买到了230平的房子# 男子在家哄娃睡觉，装修一看就是“大户人家”！网友：这孩子一出生就省去了很多烦恼#张店小二# 今日张店的微博视频  ,,无,无,无,2024-11-25 16:11,微博视频号,56,41,36
P1Wp21QpP,#胖东来卫生巾区遭哄抢# 此前多家卫生巾品牌“塌房”，胖东来卫生巾区域爆火。“货架被抢空，多为整箱购买”，网友：胖东来不仅是超市更是鉴定机构。#多家卫生巾塌房后胖东来卫生巾区爆火#（大象新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 16:01,微博视频号,7,5,6
P1Wn8y7th,#羊毛月60秒视频广告报价35万# 800万粉丝网红“羊毛月”嘲笑00后找不到工作：“不是说00后整顿职场吗，怎么连职场都进不去了。”目前，“羊毛月”就就该言论发表道歉。#羊毛月60秒视频广告报价35万# （澎湃新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:56,微博视频号,7,7,6
P1Wjf1Aem,#杭州兔子警官升职啦# 假期时西湖景区拥堵，司机违章实线掉头不承认，“兔子警官”雨中劝导，最后司机摆手认错。网友：兔子警官好凶哦～#张店小二# （潮新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:47,微博视频号,91,39,35
P1WdTmfYe,#部分劣质羽绒服填充物竟是飞丝# 159元买的鹅绒服是什么绒？业内人士：200克鹅绒成本220元左右，除了掺杂碎丝，还会用猪毛、狗毛增重。#张店小二# （齐鲁晚报·果然视频） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:34,微博视频号,40,39,37
P1W8MyZUC,#泰山下暴雪了# 11月24日晚，泰山之巅迎来今冬初雪。据统计，11月24日夜至25日，泰山今冬首场瑞雪降水量已达11mm，积雪深度已达10厘米，达到暴雪等级。目前泰山景区已暂停开放。#泰山迎近10年入冬最晚初雪##张店小二# （潮新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:21,微博视频号,42,41,39
P1W6miy8t,#3男子19元点外卖吃霸王餐一个月# 男子催单外卖小哥说“我饿死了”，外卖小哥咆哮式回答笑疯了，“没有人能在我手上饿死！”#有爱张店##张店小二# （婺城融媒） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:15,微博视频号,68,81,80
P1W2qlHh0,#发型师晓华已经在为流量退去做准备# 爸爸给女儿剪刘海，结果剪坏了，女儿的表情完美诠释了什么叫“哭笑不得”！网友：喜剧的内核果然是悲剧#有爱张店##张店小二# （普陀潮） 今日张店的微博视频  ,,无,无,无,2024-11-25 15:05,微博视频号,120,85,86
P1VXMpmPr,#2年被家暴16次女子幸存后的580天# 2年被家暴16次女子再次发声：“希望他判死刑！但凡他出来了，我们逃到哪里才能活？”#有爱张店##张店小二# （中国蓝新闻） 今日张店的微博视频  ,,无,无,无,2024-11-25 14:54,微博视频号,97,82,79
P1Vu784sj,#39岁失业后在菜市场重启人生# 女子讲述中年失业的人都干嘛去了，“体力好的人参加‘铁人三项’，年纪大的参加‘吉祥三宝’，心有不甘的参加‘创业三部曲’。” 真实到既心酸又好笑…#有爱张店##张店小二# （爱义乌） 今日张店的微博视频  ,,无,无,无,2024-11-25 13:41,微博视频号,385,175,78
P1VpI4TZ1,#王楚钦呼吁不要过度解读自己的小动作# WTT福冈总决赛男单决赛赛后采访中，王楚钦提到大家对自己的解读，“自己没有想那么多，不要老给自己弄一些电影一样的故事情节，自己都不是那么想的。”#有爱张店##张店小二# （巨流视频） 今日张店的微博视频  ,,无,无,无,2024-11-25 13:30,微博视频号,67,73,73
P1Uhiqz7I,【提前闭馆！淄博陶瓷琉璃博物发布公告！】因工作安排，淄博陶瓷琉璃博物馆将于2024年11月28日（星期四）15：30停止入场，16：00闭馆。11月28日（周四）12:00-15:30期间无需预约，可直接到馆内参观。11月29日（星期五）恢复正常开放，请您提前做好出行规划。#有爱张店##张店小二##冰雪大世界糖葫芦摊位100万起拍# 原图 ,,https://wx4.sinaimg.cn/large/dcc1a87cly1hvya73rq5yj20dw0dwt99.jpg,无,无,2024-11-25 10:37,无,78,71,83
P1UdxE17U,【点赞！淄博这些个人和集体拟获全国先进！】11月21日，全国卫生健康系统先进集体、先进工作者及“白求恩奖章”获得者拟表彰名单开始公示。根据评选表彰工作安排，经各省、自治区、直辖市和新疆生产建设兵团人力资源社会保障部门、卫生健康部门、中医药部门、疾控部门逐级推荐、评选，全国卫生健康系统先进集体、先进工作者及“白求恩奖章”获得者评选表彰领导小组办公室审核，拟表彰“白求恩奖章”获得者30名、全国卫生健康系统先进集体328个、先进工作者752名（名单见附件），现予以公示。公示期为2024年11月21日至11月27日。公示期间，如对拟表彰对象有不同意见，可以电话、电子邮件、信函等形式向评选表彰领导小组办公室反映情况。反映情况要客观真实，以单位名义反映情况的材料需加盖单位公章，以个人名义反映情况的材料应署真实姓名并提供联系方式。联系电话：（010）68791370电子邮箱：rsszhc@126.com，quanguogongshi@163.com地址：北京市西城区西直门外南路1号国家卫生健康委人事司邮政编码：100044#有爱张店##张店小二##冰雪大世界糖葫芦摊位100万起拍# 原图 ,,https://wx1.sinaimg.cn/large/dcc1a87cly1hvy9xgdmurj20u0c14x6p.jpg,无,无,2024-11-25 10:27,无,95,85,112
P1UcNw3ua,【注意！淄博发布灾害风险提示！】淄博市气象台11月24日16时50分发布寒潮蓝色预警。寒潮预报：受强冷空气影响，24 日夜间至 27 日，我市将出现寒潮天气，全市大部地区过程降温8~10℃。最低气温出现在27日早晨，北部地区-4℃左右，中南部地区-7~-5℃。25日白天至 27 日，偏北风 4～5 级阵风 6~7 级。雨雪预报：24 日夜间至 25日白天，全市阴有小到中雨。25日傍晚至夜间，全市天气阴，部分地区有雨夹雪或零星小雪。过程累积平均降水量 10 毫米左右。各级各有关部门按照职责做好防寒潮准备工作；多渠道发布寒潮预警，提醒群众注意添衣保暖，加强个人防护，防范一氧化碳中毒；农业、水产业等采取一定的防护措施；有关部门做好供暖、供电、供水、供气等保障工作，指导企业按规定落实“防冻防凝、防中毒、防火、防滑”等“四防” 工作；加强对重点部位排查，严防各类安全事故发生；严格执行值班值守制度，及时准确全面报送事故和灾情险情信息。#有爱张店##张店小二##韩剧现在拨打的电话#  原图 ,,https://wx4.sinaimg.cn/large/dcc1a87cly1hvy9vk2afnj20qo0qoju1.jpg,无,无,2024-11-25 10:25,无,66,72,74
P1Ucsezbr,【深夜，事发张店一路段！引发广大网友热议…】11月19日23时许，张店交警在联通路与橙香路路口执勤时，一辆车牌号为鲁CD***7号的小型汽车在距离检查点150米时突然停车，民警立即上前查看。驾驶人王某进主动承认饮酒后驾驶机动车，经呼气式酒精检测，结果为67mg/100ml，达到饮酒后驾驶机动车标准。取证过程中，乘坐该车的一名男子情绪激动，一脚踢开破胎器，并手持相机对民警正常执法进行干扰，民警保持克制，但其变本加厉，辱骂威胁民警。派出所民警到达现场后，该名男子仍不收敛。过路市民将手机拍摄的事件经过发布到抖音后，引起网民关注。网友留言“支持交警，坏人录像也变不成好人”，“这是严重干扰警方办案，希望警方严惩”，“淄博不是法外之地，支持淄博交警”。11月22日，潘庄派出所依法传唤涉嫌妨碍执行职务的嫌疑人宛某，宛某对自己的行为供认不讳，表示非常后悔，面对镜头向执勤民警鞠躬道歉。潘庄派出所依据《中华人民共和国治安管理处罚法》对宛某的违法行为做出处罚。#张店小二##有爱张店##韩剧现在拨打的电话#  [组图共3张] 原图 ,,"https://ww1.sinaimg.cn/large/dcc1a87cly1hvy9umzk24j20u00h4428.jpg,https://ww4.sinaimg.cn/large/dcc1a87cly1hvy9un8gi0j20u00gzdjk.jpg,https://ww1.sinaimg.cn/large/dcc1a87cly1hvy9ungfhyj20u00midkw.jpg",无,无,2024-11-25 10:25,无,61,69,69
