微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1W0dffAD,羊毛月真的生动诠释了什么叫何不食肉糜，他和那些建议把空房子租出去收租，把私家车开出去拉活的专家和说你不够努力的人本质是一样的。他们作为这个社会的高收入上位者，从心底映射出的是对普通底层劳动人民的藐视。他们可能觉得人人都人均存款几十上百万，还普通家庭月收入才三四千，农村家庭更低，13亿人口，高收入人群只占10%，剩下的90%都是中低收入人群。羊毛月应该是上大学的时候就火了吧，他应该没出来找个工作吧，他一条视频的广告费可能就是一个普通家庭一年的收入。他应该理解不了一个普通家庭供养大学生的艰辛，也理解不了一个普通大学生毕业后找不到工作和找到工作一看工资2500的那种无力感。我不理解的是，他不知道他的衣食父母是广大的网友嘛，他这个量级的网红应该都有团队吧，都不审核一下嘛，还嘲讽人人都想当网红，那他干什么去？吃尽了互联网红利，还不让别人喝口汤吗？  #羊毛月言论争议# http://t.cn/A6m2ITxK ,,无,无,无,2024-11-25 15:00,iPhone客户端,5,5,5
P1VZCmkpF,因“嘲讽00后整顿职场”，毕业于北京大学的网红“羊毛月”持续掉粉，仅两天粉丝量已降了70万左右 。#羊毛月言论争议# 子夜笙歌落ing的微博视频  ,,无,无,无,2024-11-25 14:58,iPhone客户端,2,1,1
P1VZbzuTe,"羊毛月吃尽时代红利，但也精准踩中时代雷区羊毛月，真名杨悦，男，1996年9月出生，2014年考进中国传媒大学播音主持艺术学院，2018年保送到北京大学新媒体研究院，全网粉丝近千万，单条广告报价几十万，一条广告可以顶我们普通人几年甚至十几年不吃不喝的努力。就是这样一个踩中了时代风口、吃尽了时代红利的人站在自以为是的高度举起了抨击我们年轻一代的武器，宛如当年79元眉笔事件的李佳琦。就业问题一直是这两年社会关注度很高的严肃话题，也可以说是存在很大矛盾的话题，不管是对于00后，还是90后，或者80后，大家都在面临着不同的失业挑战。根据国家统计局数据显示，2024年高校毕业生人数创下新高，达到1158万人。00后在面对求职压力时，已经承受着很严重的精神焦虑，而自媒体人物的讽刺性言论只会加剧这种情绪，造成大家更重的心理负担。""人一旦虚浮上某个高位，看海平面以下的态度总会发生变化，共情和务实都会被磨灭，取而代之的是审视和批评""。这是我看到关于这个事件一篇帖子下的一个高赞评论，我很认同，无论是过去的李佳琦，还是现在的羊毛月，都是踩中了时代风口起飞的猪，飞久了反而忘了自己其实也只是一只普通的猪，谁也不比谁高贵。事件感悟：一些需要我们做衣食父母的人都可以对我们肆意的讽刺和践踏，更何况那些没有顾虑且说话不顾后果的人说出来的言论会有多伤人？口无遮拦的亲戚，盲目责怪的父母，攀比嫉妒的朋友，每一个的语言攻击影响力都不会弱。所以，没有找到工作的00后们，一定要学会拒绝精神控制与精神打压，学会屏蔽别人的恶意，把注意力放在自己身上，不被别人的情绪所影响，内核稳定才能成为更强大的自己。#羊毛月言论争议# 原图 ",,https://wx1.sinaimg.cn/large/007eb6O2ly1hvyhqjswkkj30j60lbq6j.jpg,无,无,2024-11-25 14:57,iPhone客户端,5,2,2
P1VYZCxOw,羊毛月的言论争议再次将网红的社会责任感推至风口浪尖。羊毛月60秒视频广告报价35万，这个数字背后是巨大的商业价值，但同时也承载着公众人物应有的道德标准和社会责任。羊毛月嘲笑00后求职者的言论，无疑是对当前就业困难的轻蔑和无知，这种态度不仅伤害了正在努力求职的年轻人，也暴露了某些网红在名利面前的道德失范。互联网确实成就了许多人，但并不是所有人都配得上这份成就。羊毛月的道歉视频，与其说是真诚的反省，不如说是一种危机公关，试图挽回因不当言论而损失的商业利益和粉丝支持。他们不是知道错了才道歉，而是知道如果不道歉就要完了。这种道歉缺乏诚意，也难以平息公众的愤怒。羊毛月事件提醒我们，作为公众人物，尤其是拥有巨大影响力的网红，应当更加谨慎地对待自己的言行，因为他们的每一句话都可能对粉丝和社会产生深远的影响。互联网时代，每个人都可能成为信息的传播者，但同时也应该成为正能量的传播者，而不是冷漠和嘲讽的源头。#羊毛月##羊毛月言论争议# http://t.cn/A6m2ISCF ,,无,无,无,2024-11-25 14:57,iPhone客户端,2,1,1
P1VYZ185Y,近日，网络红人#羊毛月#因其对大学生就业难问题的言论在网络上掀起波澜。在引发广泛讨论后，该网红发布视频向公众致歉。有网友发现，早在去年的万柳书院事件中，该博主就发表过不少争议言论，羊毛月曾称万柳书院业主为“少爷”，并向其自荐当保姆。 #羊毛月言论争议# 子夜笙歌落ing的微博视频  ,,无,无,无,2024-11-25 14:57,iPhone客户端,2,1,1
P1VYjCIRm,羊毛月事件再次提醒我们，作为拥有广泛影响力的网红，其言论和行为必须承担起相应的社会责任。羊毛月的言论不仅缺乏对普通人生活艰辛的同理心，更是对那些在就业市场上挣扎的年轻人的不尊重。羊毛月的嘲讽，无疑是对00后求职者困境的轻蔑和无知，这种高高在上的态度，远比话语本身更让人难以接受。羊毛月作为一个北大毕业生，本应更加理解高学历求职者的不易，但他的言论却显示出一种自我优越感和对普通人生活的漠视。他的道歉视频虽然发布，但公众的不满并未因此平息，2天掉粉70万，这不仅是舆论的“审判”，更是价值观的警钟。羊毛月的翻车，不是因为讨论了“严肃话题”的方式不当，而是因为他用一种居高临下的姿态，把他人的拼搏与苦衷当成了取乐的段子。在网红时代，流量不应成为透支社会信任的借口。对观众的尊重，不只是逢场作戏的言辞，也不是轻描淡写的道歉，而是发自内心的平等与真诚。每一个普通人，都是这个社会的努力拼图，他们的艰辛付出值得被理解，决不是被拿来消遣的段子。羊毛月事件的启示，不在于某个博主的起落，而是提醒所有人——尤其是那些站在舞台中央的人——光环再耀眼，也不能成为傲慢的理由。那些站在屏幕前的观众，并不需要高高在上的施舍，他们只希望被尊重，被看到。毕竟，追逐生活的道路上，我们都一样。#羊毛月##羊毛月言论争议# http://t.cn/A6m2IIk9 ,,无,无,无,2024-11-25 14:55,iPhone客户端,6,3,5
P1VXK3H3A,【羊毛月60秒视频广告报价35万：网红经济的双面镜】网红“羊毛月”因一则60秒的视频广告报价高达35万元而再次成为公众关注的焦点。这一价格不仅刷新了人们对于网红经济价值的认知，更引发了关于网红言行影响力和社会责任感的深入思考。羊毛月作为一位拥有大量粉丝的网红，其商业价值显而易见。据相关第三方数据平台透露，羊毛月的视频服务费用根据时长不同有所差异，其中1至20秒的视频服务报价为32万元，而21秒至60秒以及60秒以上的视频服务费用则分别为35万元。这一价格无疑体现了网红经济的高收益特性，也反映出市场对羊毛月这一网红品牌的认可度。然而，在羊毛月高价的背后，却隐藏着一系列值得深思的问题。不久前，羊毛月因吐槽大学生找不到工作一事引发热议。他在视频中用阴阳怪气的语气去评议关于目前大学生就业难的问题，这种态度引起了公众的极大愤怒。许多网友纷纷表示，羊毛月作为公众人物，应该谨言慎行，而不是嘲笑普通大众就业的寒冬。这一事件不仅让羊毛月的形象受到了严重损害，也暴露出网红经济在发展过程中的一些问题。首先，网红经济的快速发展使得部分网红在追求经济利益的过程中忽视了社会责任感。他们往往以娱乐至上为原则，言论举止缺乏规范，容易引发社会争议。其次，网红经济的过度商业化也导致了价值观的扭曲。一些网红为了追求点击率和关注度，不惜制造虚假信息、恶意炒作的手段来吸引眼球。这种行为不仅损害了公众的利益，也破坏了网络空间的秩序。面对这些问题，我们应该如何看待网红经济呢？首先，我们需要认识到网红经济作为一种新兴的商业模式，其存在本身具有一定的合理性。网红通过自身的才华和努力吸引了大量粉丝关注，进而产生了经济价值。这种经济模式在一定程度上促进了就业和创新的发展。然而，我们也不能忽视网红经济带来的负面影响。为了规范网红经济的发展，我们需要从多个方面入手。首先，政府应加强对网红经济的监管力度，制定相关法律法规来规范网红的言行举止。其次，网红自身也应该提高社会责任感，谨言慎行，积极传播正能量。“羊毛月60秒视频广告报价35万”这一事件不仅让我们看到了网红经济的巨大潜力，也提醒我们要警惕其背后的问题。只有在规范发展的前提下，网红经济才能持续繁荣并为社会带来更多价值。#羊毛月言论争议# http://t.cn/A6m2I5P3 ,,无,无,无,2024-11-25 14:54,iPhone客户端,2,1,1
P1VX1pfPm,羊毛月塌房：你们找不到工作当网红，我干什么？近日网红羊毛月发布视频疑似嘲讽大学生找不到工作和“00后整顿职场”引发巨大争议，不久后删除视频。 在视频中羊毛月对平台上众多“秋招0offer”的帖子表示疑惑：“现在大学生都这么难找工作吗”，还嘲讽大学生“小发雷霆”的秋招段子“0人在意”，表示“你们都来当网红了我干什么呢？”。11月23日，羊毛月发布道歉视频，称“想了解一下大家的真实困难及我有什么可以帮助到的地方，但是对于这种严肃的话题我采用了非常不恰当的表达方式，伤害到了大家的感情，让大家在本就很难过的就业季过得更难了。” 天眼查平台显示，“羊毛月”商标已由王某于2021年申请注册，国际分类为广告销售。第三方平台显示，羊毛月账号关联mcn公司为“星辰互娱传媒”，该mcn公司旗下还有“虾壳”、“乡味妈妈”、“欢喜一家”等达人。#羊毛月言论争议# [组图共6张] 原图 ,,"https://ww4.sinaimg.cn/large/007eb6O2ly1hvyhlrpui3j30j60pltaa.jpg,https://ww4.sinaimg.cn/large/007eb6O2ly1hvyhlrxyxzj30j60plgn9.jpg,https://ww3.sinaimg.cn/large/007eb6O2ly1hvyhls3k8oj30j60pldhh.jpg,https://ww1.sinaimg.cn/large/007eb6O2ly1hvyhlriw7qj30j60pljt0.jpg,https://ww3.sinaimg.cn/large/007eb6O2ly1hvyhkz0ek6j30j60pk3yr.jpg,https://ww1.sinaimg.cn/large/007eb6O2ly1hvyhkzdqx3j30j60pkwfc.jpg",无,无,2024-11-25 14:52,iPhone客户端,2,1,1
P1VWA8J0L,【羊毛月60秒视频广告报价35万：网红经济的狂欢与反思】近日，网红“羊毛月”的60秒视频广告报价高达35万元的消息，在社交媒体上引发了广泛关注和热议。这一数字不仅彰显了网红经济的巨大潜力，也让我们不得不重新审视和思考这一新兴行业的现状和未来。首先，羊毛月的高额广告报价无疑是网红经济繁荣发展的一个缩影。随着互联网技术的飞速发展和社交媒体的普及，网红已经成为了一种新兴的职业和身份。他们凭借自己的才华、魅力和影响力，吸引了大量的粉丝和关注者，从而获得了巨大的商业价值和广告潜力。羊毛月作为其中的佼佼者，其广告报价自然水涨船高，成为了网红经济中的一颗璀璨明珠。然而，羊毛月的高额广告报价也引发了我们对网红经济的一些反思。一方面，网红经济的繁荣确实为许多人提供了创业和就业的机会，也为品牌和产品提供了更广阔的营销渠道。但另一方面，这种以流量和关注度为导向的商业模式，也容易导致一些网红为了追求短期利益而忽视内容的质量和深度，甚至不惜触碰道德和法律底线。此外，羊毛月的事件也让我们看到了公众对于网红言行的敏感性和关注度。作为具有一定影响力的公众人物，网红的言行举止不仅代表着个人的形象和态度，更在一定程度上影响着粉丝和社会风气。因此，网红们应该更加谨慎地表达自己的观点和看法，避免引发不必要的争议和负面影响。面对网红经济的狂欢与反思，我们应该保持理性和客观的态度。一方面，我们要肯定网红经济为社会发展带来的积极贡献和推动作用；另一方面，我们也要警惕其中存在的问题和风险，加强监管和引导，确保这一新兴行业能够健康、有序地发展。最后，我们也应该意识到，网红经济并非长久之计。随着市场竞争的加剧和消费者需求的不断变化，网红们需要不断创新和提升自己的实力，才能在激烈的市场竞争中立于不败之地。同时，我们也应该鼓励和支持更多有志于创业和创新的人才投身到实体经济和科技创新中去，为推动社会进步和发展贡献自己的力量。综上所述，羊毛月60秒视频广告报价35万的事件不仅让我们看到了网红经济的巨大潜力和商业价值，也引发了我们对这一新兴行业的深刻反思和思考。我们应该保持理性和客观的态度，加强监管和引导，确保网红经济能够健康、有序地发展，同时也应该鼓励和支持更多有志于创业和创新的人才投身到实体经济和科技创新中去。#羊毛月言论争议# 原图 ,,https://wx4.sinaimg.cn/large/007eb6O2ly1hvyhjuexzag30dw0dwach.gif,无,无,2024-11-25 14:51,iPhone客户端,2,1,1
P1VbrpTdJ,卫生巾生产“偷工减料”并非小事！#卫生巾造假风波# 子夜笙歌落ing的微博视频  ,,无,无,无,2024-11-25 12:55,iPhone客户端,2,1,1
