微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1UlAnagn,#一口吃出好彩头##city drink##舌尖上的美食# 邀请老朋友，杭州市歌《梦想天堂》的词曲作者应应豪，一起去了最近火热的中餐厅打卡。或者说，这是一趟用美食治愈失恋阵痛之旅。好在往往悲伤的情绪更能激发创作欲，而艺术家的感性，又让他们的感官更敏锐，品一道新菜，喝一盏鲜汤，同好友侃天侃地.....不晓得一餐下来，应老师会不会又多几丝灵感呢？（另外，很难相信这一餐我们竟然点出三道臭豆腐菜，且全部光盘，就是有这么惊人的好吃！） http://t.cn/A6mAl19Y ,,无,无,无,2024-11-25 10:47,微博视频号,13581,2854,1196
P1iA4oUOv,准备蟹宴准备到差点精神奔溃是什么体验？这次来苏州品蟹宴，老板跟我们打趣，她家大厨每次研究新菜，都愁到整晚睡不着。苦了大厨，饱了口福😂一道甫里鸭鳗鱼醉蟹汤已然把我的胃拿下，汤色清亮轻盈，一口鲜美满足，这很苏州。#city drink##干杯接力挑战##微博火锅节# 胡狸的美食圈的微博视频  ,,无,无,无,2024-11-21 10:38,微博视频号,24556,2952,1617
P121XxZvZ,我愿封其为中国餐饮界的奥斯卡晚会（不颁奖版😂）。不同于以往举办在上海，这次回归到了翁总的故乡宁波。起航鸣笛声中，晚宴开启，又一次以美食对话世界。当然这不是空泛的仪式感，而是持续了八个年头的坚守，且会在美食领域一直前行赶路的坚定。#微博火锅节# #全国火锅图鉴# #我的人生火锅# http://t.cn/A6nDgjCE ,,无,无,无,2024-11-19 16:30,微博视频号,11569,2906,1235
P0riRbznS,潮汕菜，犹如粤菜菜系中一颗璀璨的明珠，不仅以鲜美的滋味征服众人味蕾，更承载着深厚的非遗文化底蕴。#吃喝玩乐皆是非遗#今天邀请百万博主我们的厨师长大头，来和潮汕菜大厨交流。正如大头的感慨：“解决温饱的餐厅跟感受美食的餐厅是两码事。”潮汕菜精食材，倚耐心。烹饪的过程，是巧思和精细共铸的艺术。花椒、石榴鸡、金钩鱼翅、布仔豆腐......再来一碗时令菌菇焖饭，鲜香的一餐，直到散场还在回味。 http://t.cn/A6n1ztXx ,,无,无,无,2024-11-15 19:00,微博视频号,29538,92,3569
P0eY7zhnw,#一口吃出好彩头##微博尝鲜计划##city drink# 来澳门心心念念的就是这家福布斯五星餐厅。不同于澳门大多数高级餐厅给人的纸醉金迷感，这家反而是高冷威严的。整块大理石雕铸的威仪盘龙，与地毯上的祥云呼应，自成一股天地浑圆之气。连餐具都是剔透琉璃，握而尊贵。主厨徐伟豪的封神家最脆皮百花鸡，是上过《风味人间》，创下过亿收视的人气菜品。鸡皮的食感味道确实让我眼前一亮，焦香薄脆，每忆每垂涎。 [组图共9张] 原图 ,,"https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllwv0s4j20zk0npgqr.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllxf793j20zk1hcwy5.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllwu8gbj20zk0npn1v.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvlllwv9n5j20zk0np0yl.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvllly10wjj20zk1hce81.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllx7x4bj20zk1hc1eb.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllyc5f1j20zk1hc4qq.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvlllx2vp9j20zk1hcqd0.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvlllx12hvj20zk0npdn6.jpg",无,无,2024-11-14 11:36,微博网页版,6331,2602,1386
OFUkNixeA,#茶百道怎么喝最好喝##一口吃出好彩头##city drink# 天一冷，就爱和朋友们老Bar小聚。听听驻唱，闲聊小酌，在隔绝秋冬冷风的方寸间，卸下一整年的疲惫。每次说到喝几杯，朋友们的选择也都很默契。这家JAMHOUSE通常是我们的首选。西湖边上开了二十年的酒吧，驻唱、老板、顾客......都是爱音乐的人。少了一分浮躁，但也不觉古板。作为爱拍爱记录的自媒体人，在这还发现了老板特意给顾客配备的自拍杆和补光灯，这种人情味和贴心，真的很难不爱哦～ [组图共9张] 原图 ,,"https://ww4.sinaimg.cn/large/5ce46b3egy1hvjasmidajj22yn1nze84.jpg,https://ww1.sinaimg.cn/large/5ce46b3egy1hvjasm6yl0j22ym1o0x6r.jpg,https://ww2.sinaimg.cn/large/5ce46b3egy1hvjaso6624j22yo1o0u11.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvjaskd8y9j22yo1o0x6q.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvjasnhh04j22yo1o0hdw.jpg,https://ww2.sinaimg.cn/large/5ce46b3egy1hvjasnknzlj22yo1o0x6s.jpg,https://ww1.sinaimg.cn/large/5ce46b3egy1hvjaso2zcij22yo1o0u11.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvjasns7ayj22yo1o0u10.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvjasekrmsj21hc0u0qv5.jpg",无,无,2024-11-12 13:33,无,9051,2784,1255
OFBwCllD7,冬日的风，为这场奢华之旅增添了一抹别样的韵味。从西宁🚄到敦煌，来了一趟顶奢漫游。 #冬日治愈系美食##立冬四件套##一口吃出好彩头#中国首列奢华旅游列车。以前总觉得旅程，是从到达目的地才开始的。这一次，才真正体验了一番，什么叫做“旅行，在路上”。管家式服务、米其林餐品、鸡尾酒晚会......这一切让以往在列车上百无聊赖的时间，都变的充满期待。沙漠落日、无垠草原......每天穿梭于天地浩瀚美景，在满足中入眠，又对充满未知的新一天满怀期待（哈哈，无奖竞猜，列车上有没有羊肉串呢❓）～ http://t.cn/A6nYXpqc ,,无,无,无,2024-11-10 13:40,微博视频号,17468,1484,397
OFqr8lYjp,立冬已至，寒意渐浓，此时没有什么比一顿火锅更能慰藉身心。第N+1次打卡这家火锅店（绝不肯承认是我又馋了，主要是他家新搬迁到了一公馆，这名字听着就是很高奢的地界，这不得冲一下？）🍲图4的牛肉，香的我没时间夸赞👍口感丰腴却不油腻，吃一片就想把同桌属于别人的那片据为己有。主打海鲜姿造，人均不低的西子火锅宴能在并不大的杭州开上四五家，可想而知是真有点东西哒～#冬日治愈系美食##立冬四件套##一口吃出好彩头# [组图共9张] 原图 ,,"https://ww1.sinaimg.cn/large/5ce46b3egy1hvfq8xm38sj20u0190wl8.jpg,https://ww4.sinaimg.cn/large/5ce46b3egy1hvfq8xww85j21900u0al0.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvfq8y9sutj21900u0qdt.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvfq8x7z5sj21900u0jyr.jpg,https://ww1.sinaimg.cn/large/5ce46b3egy1hvfq8ympw5j20u0170n3a.jpg,https://ww1.sinaimg.cn/large/5ce46b3egy1hvfq8yxziaj20vi0u0793.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvfq8z8pbij20u016kwk7.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvfq8zl8p9j20u0190n4a.jpg,https://ww3.sinaimg.cn/large/5ce46b3egy1hvfq900l1hj20u00xoag0.jpg",无,无,2024-11-09 09:26,无,34561,1182,965
OFgxetK5E,立冬之后为什么要吃姜汤面？#冬日治愈系美食##立冬四件套##一口吃出好彩头#因为姜汤面中的生姜性温，具有辛辣的味道，能够促进血液循环，帮助人体产生热量，从而起到驱寒保暖的作用。在寒冷的季节里，食用姜汤面可以让你快速暖和起来，抵御严寒。冷飕飕的天气，就想炫点热乎的。得从胃里开始暖，整个人才算活泛起来💪姜，饮食界的全能ACE。既能和红糖滚沸，祛寒生汗，又能同鲜奶搭档，碰撞出甜。而我这次尝试了它和碳水的组合——姜汤面。老板从小烧到大的煤饼炉，是老饕寻味的踏实感来源。新鲜老姜片和黄酒煮透，少了分辛辣，多了分醇厚。足足的一大碗下肚，是酣畅淋漓的爽快。 http://t.cn/A6nOMGfE ,,无,无,无,2024-11-08 08:14,微博视频号,14716,1351,862
OF7mb1xjQ,孤山不孤，断桥不断。 今天是二十四节气中的【立冬】，来几道传统杭帮菜，腾腾锅气，消融寒风萧瑟，胃和心都被治愈了。#冬日治愈系美食##立冬四件套##一口吃出好彩头#形容西湖，可以是如烟飘渺，可以是梦中江南。但对本土生土长的杭州人来说，西湖是一处让心安宁的heaven。三餐四季，少不了约上亲友，在西湖边入座家常小宴。73号桌，当之无愧的“人气”位置，每次“幸运”约到，心情都随视野开阔几分。 http://t.cn/A6npJvfC ,,无,无,无,2024-11-07 08:52,微博视频号,4855,611,1296
