微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
P1YyPFhhq,自从脊梁10月收到了一团云南佛手柑就给我打开了香氛新世界大门😂其他的家居香薰哪有天然的植物好闻淡淡的橘调香🍊是非常清新干净的味道所以我给家里/老公主那/办公室都摆上了老公主收到佛手后不认识还叫它肉手😂脊梁再三叮嘱老公主收到后⚠️千万别沾水1️⃣先用酒精擦拭表皮消毒，再拿纸巾擦干2️⃣放在干燥通风处，就这么干摆干放式养就行养得好的话最后可以变干木质化🪵香味也越养越香，会从柑橘香味→陈皮香味如果养不好，可能会发霉腐烂🙂↔️现在这个季节收到的佛手大多是淡黄果不管是自己摆着还是送人都很好🎁因为佛手谐音福寿，因此寓意“多福、多子、多寿”，有吉祥的寓意🎉暗香浮动，治愈心灵💐缓解焦虑又聚财💰养得好香气可持续一个月左右之前因为爆单我们被迫关团近一个月这次复团的是➡️升级版佛手柑，形状会更好每一个都是云南基地现摘现发，顺丰包邮最重要的是我们可以保证✊✊✊‼️15天内发霉都可以售后‼️只是目前发货较慢📦下单后7天内发货[查看全部图片/视频] ,,无,无,无,2024-11-25 21:31,荣耀X50,10,3,4
P1Yjgi0qH,寒潮到货，气温开始明显下降走在外面有点冷了😨😨😨#脊梁聊天气# 脊梁in上海SH的微博视频  ,,无,无,无,2024-11-25 20:52,微博视频号,12,4,4
P1WAQx6bX,16点寒潮的前锋抵达无锡上海16点的气温还有17.5℃南京已经跌到10℃，无锡14℃今天傍晚上海会开始飘毛毛雨晚高峰雨量不大，主要降雨过程出现在今晚明天会是北风呼啸的一天#脊梁聊天气# [查看全部图片/视频] ,,无,无,无,2024-11-25 16:30,荣耀X50,11,1,3
P1V3hDucs,中午12点寒潮的前锋已经到达南京正在缓慢向上海推进上海今天的锋前增温强度低于预期截止中午最高气温17℃，下午最高18℃另外今天傍晚前后开始上海雨势较明显大家晚高峰记得带好伞🌂#脊梁聊天气# [查看全部图片/视频] ,,无,无,无,2024-11-25 12:35,荣耀X50,24,0,7
P1Tgreccm,昨天深夜上海开始进入阴雨模式今天上海是一个大暖雨日，阴有时有雨早高峰上海穿越雨洞不会下雨不过还是要带好雨具，中午前后转雨今天锋前增温，最高气温19～20℃今天深夜寒潮开始影响上海明天上海大风降温气温全天倒挂周三白天上海气温在6度上下，体感寒冷本轮寒潮影响最低温出现在周四凌晨市区3℃，郊区1℃上下本周三起上海将会有连续多日晴好天气#脊梁聊天气# http://t.cn/A6mAXeHi ,,无,无,无,2024-11-25 08:02,微博视频号,25,2,6
P1Ps434ID,高空抛物已经很不文明了可你能想象高空抛“污”💩伐？11月8日，松江区泗水和鸣小区53号楼出现了一起高空抛“污”事件三楼、四楼早上一起来，就发现窗户上、外墙上黏挂着大量屎黄色的粪便💩臭味大得楼下大厅就能闻到🤮最气人的是罪魁祸首一时还无从找起😡报警、找物业，警察和物业也只能挨家挨户去询问、警告想验DNA，又因为粪便太臭已经被清理掉了物业没有装针对高空抛物的摄像头有业主后来自己在对面楼架手机录像可凶手是凌晨作案，天太黑手机根本拍不到据了解，这个泗水和鸣小区2022年底交付最快的那批居民也才入住了两年不到楼上楼下邻居们在这次抛“污”事件之前甚至属于是完全不知道谁是谁的状态实在无法理解抛“污”者和邻居们有什么仇什么怨要做这种事而且这小区还是近几年的一个网红楼盘按理来说能住进来的人素质应该都挺高的谁知道混进来个神经病据居民说，其实这栋楼从今年3月开始就有高空抛物的问题不过之前只是丢丢垃圾、又找不到凶手所以大家睁一只眼闭一只眼就过去了结果是退一步乳腺增生，凶手得寸进尺高空抛物竟然升级成了高空抛“污”9月21日，江苏昆山也出过一起高空抛“污”事件不过当时的警察马上就检测了粪便的DNA从全单元几十户居民中比对肇事者采集DNA的第二天，抛污的犯人就主动投案了法律条文中早就有明确规定高空抛物情节严重者要付法律责任可惜还是有很多没素质的人明知故犯😓目前该小区已经装上了针对高空抛物的摄像头希望能尽快抓到凶手，该罚罚该赔赔吧 http://t.cn/A6mAPxX6 ,,无,无,无,2024-11-24 22:19,微博视频号,12,1,7
P1P4DBKTs,寒潮蓄势待发，下周上海的天气会很刺激下周一锋前增温➕下雨🌧最高气温冲击20℃周二凌晨前后寒潮开始影响上海上海周二的气温会出现倒挂，一路走低降温的同时还会伴随着大风周三白天气温只有6℃上下，相比周一打三折双十一都不敢这么玩麦琳都要惊呼，这还蛮值得哭的过程最低气温出现在周四凌晨上海市区最低3℃，郊区1℃上下此后气温有所回升，一举入冬难度较高12月3日前后还有冷空气补充南下气温又会被打回10℃以下上海的入冬窗口也会在12月初打开#脊梁聊天气# http://t.cn/A6mw1dfb ,,无,无,无,2024-11-24 21:22,微博视频号,25,4,9
P1OXPoA9H,我blue了这还蛮值得哭的没有买到我的心趴上就还好怎么都出自同一个人  原图 ,,https://wx3.sinaimg.cn/large/56df5c93gy1hvxmqisn0fj20u013140d.jpg,无,无,2024-11-24 21:05,荣耀X50,5,0,3
P1NIZcG6M,（接上一条微博）吴柳芳退役拍擦边视频被喷这件事看下来也让脊梁感触良多了现在又传出#吴柳芳和管晨辰疑似剧本炒作#不管这件事情是不是炒作脊梁自己身边是真有这样的前同事我在电视台工作时尝试自己做自媒体也一直被之前电视台同事们嘲笑太low最让我无法理解的事情就是2015年我爸爸去世时我用自己的方式纪念我的爸爸也会被同事说成是在消费亲人说我连爸爸死了都不放过炒作的机会我真的觉得离了个大谱淫者见淫，心里得有多阴暗才会这样想18年到22年，这四五年里很多次我们团队面临放弃了我甚至开始扮演老公主拍视频就为了能有新的出口这两年脊梁又逐渐转型到带货不止网上，身边也陆续有各种声音“取关了，开始卖东西了”“你们卖的什么臭鱼烂虾？”但我并不觉得我现在做的事情low从开始找供应商接洽货源搭建出了一个相对坚实的商业小堡垒我还是坚持着一些底线在做的事情也对得起自己的良心但我为了保护好自己的团队让公司可以活下去，还是必须要放下面子放下身段去做一些别人眼里自降身段的事情可能也有人会说我不像个老板但这换来公司遇到什么风浪都有人和我一起“修船”我觉得还是值得的一天到晚觉得别人都很low只敢在背后说三道四的人其实才是最low的吧 #管晨辰 吴柳芳# [组图共3张] 原图 ,,"https://ww3.sinaimg.cn/large/56df5c93gy1hvxhac7oh0j20xc4ure81.jpg,https://ww4.sinaimg.cn/large/56df5c93gy1hvxhbxmudpj20on0i742f.jpg,https://ww3.sinaimg.cn/large/56df5c93gy1hvxhbxab8tj20q619d124.jpg",无,无,2024-11-24 17:56,荣耀X50,71,5,19
P1MpWm4P0,奥运冠军和前体操队员#管晨辰 吴柳芳#吵起来这事儿，大家看了吗？吴柳芳在社交app上发了一些自己跳舞的视频身材火辣 跳舞也是有点擦边东京奥运会体操女子平衡木冠军管晨辰对这种行为很不满“你要擦就擦你的，不要给体操扣屎盆子”而吴柳芳回应“吃不着葡萄说葡萄酸？”还暗讽管晨辰是个胖子网友也是讨论得很起劲了一部分认为退役也有权选择自己的生活方式还有一些认为拿前国队体操运动员的身份当噱头很不合适体操沙排等女性运动项目本来就是造谣重灾区了也有网友好奇是不是退役后生活很困难？但看了一眼，退役后吴柳芳先被安排到了北京体育大学深造之后安排当老师，算不上困难吧目前管晨辰的评论区已经沦陷了吴柳芳的粉丝量倒是涨的飞快… [组图共6张] 原图 ,,"https://ww2.sinaimg.cn/large/56df5c93gy1hvxbhnuju3j20lb0otal7.jpg,https://ww1.sinaimg.cn/large/56df5c93gy1hvxbhqd6s3g20db0l7kjo.gif,https://ww2.sinaimg.cn/large/56df5c93gy1hvxbhrme4lj20lp0s3k2k.jpg,https://ww3.sinaimg.cn/large/56df5c93gy1hvxbhqt87xj20j30ipten.jpg,https://ww2.sinaimg.cn/large/56df5c93gy1hvxbhrydx5j20g30ebdis.jpg,https://ww4.sinaimg.cn/large/56df5c93gy1hvxbhslszpj20k90s7tjs.jpg",无,无,2024-11-24 14:36,荣耀X50,333,4,43
